Package,Version
a2a-sdk,0.3.9
agent-framework,1.0.0b251007
agent-framework-a2a,1.0.0b251007
agent-framework-azure-ai,1.0.0b251007
agent-framework-copilotstudio,1.0.0b251007
agent-framework-core,1.0.0b251007
agent-framework-devui,1.0.0b251007
agent-framework-mem0,1.0.0b251007
agent-framework-purview,1.0.0b251016
agent-framework-redis,1.0.0b251007
aiofiles,25.1.0
aiohappyeyeballs,2.6.1
aiohttp,3.11.18
aioice,0.10.1
aiortc,1.12.0
aiosignal,1.3.2
aniso8601,10.0.1
annotated-types,0.7.0
anyio,4.9.0
argcomplete,3.6.2
asgiref,3.8.1
attrs,25.3.0
av,14.3.0
azure-ai-agents,1.2.0b5
azure-ai-evaluation,1.6.0
azure-ai-inference,1.0.0b9
azure-ai-ml,1.27.1
azure-ai-projects,1.1.0b4
azure-common,1.1.28
azure-core,1.34.0
azure-core-tracing-opentelemetry,1.0.0b12
azure-cosmos,4.9.0
azure-devops,7.1.0b4
azure-identity,1.25.0
azure-mgmt-core,1.5.0
azure-monitor-events-extension,0.1.0
azure-monitor-opentelemetry,1.8.1
azure-monitor-opentelemetry-exporter,1.0.0b44
azure-search-documents,11.6.0b11
azure-storage-blob,12.25.1
azure-storage-file-datalake,12.20.0
azure-storage-file-share,12.21.0
backoff,2.2.1
blinker,1.9.0
cachetools,6.2.1
certifi,2025.4.26
cffi,1.17.1
chardet,5.2.0
charset-normalizer,3.4.2
click,8.2.0
cloudevents,1.11.0
colorama,0.4.6
coverage,7.8.0
cryptography,44.0.3
debugpy,1.8.8
defusedxml,0.7.1
Deprecated,1.2.18
deprecation,2.1.0
distro,1.9.0
dnspython,2.7.0
docstring_parser,0.16
dotenv,0.9.9
fastapi,0.115.12
filelock,3.18.0
filetype,1.2.0
fixedint,0.1.6
Flask,3.1.1
flask-cors,5.0.1
flask-restx,1.3.0
foundry-local,0.0.1
foundry-local-sdk,0.5.0
frozenlist,1.6.0
gitdb,4.0.12
GitPython,3.1.44
google-api-core,2.26.0
google-auth,2.41.1
google-crc32c,1.7.1
google_search_results,2.4.1
googleapis-common-protos,1.70.0
greenlet,3.2.4
grpcio,1.71.0
h11,0.16.0
h2,4.2.0
hpack,4.1.0
httpcore,1.0.9
httptools,0.7.1
httpx,0.28.1
httpx-sse,0.4.0
hyperframe,6.1.0
idna,3.10
ifaddr,0.2.0
importlib_metadata,8.6.1
importlib_resources,6.5.2
iniconfig,2.1.0
isodate,0.7.2
itsdangerous,2.2.0
jaraco.classes,3.4.0
Jinja2,3.1.6
jiter,0.9.0
joblib,1.5.0
jsonpatch,1.33
jsonpath-ng,1.7.0
jsonpointer,3.0.0
jsonschema,4.23.0
jsonschema-path,0.3.4
jsonschema-specifications,2025.4.1
keyring,24.3.1
langchain,1.2.7
langchain-core,1.2.7
langchain-openai,1.1.7
langgraph,1.0.7
langgraph-checkpoint,4.0.0
langgraph-prebuilt,1.0.7
langgraph-sdk,0.3.3
langsmith,0.6.6
lazy-object-proxy,1.11.0
MarkupSafe,3.0.2
marshmallow,3.26.1
mcp,1.18.0
mem0ai,1.0.0
microsoft-agents-activity,0.5.0.dev11
microsoft-agents-copilotstudio-client,0.5.0.dev11
microsoft-agents-hosting-core,0.5.0.dev11
microsoft-kiota-abstractions,1.9.5
microsoft-kiota-authentication-azure,1.9.5
microsoft-kiota-http,1.9.5
microsoft-kiota-serialization-form,1.9.5
microsoft-kiota-serialization-json,1.9.5
microsoft-kiota-serialization-multipart,1.9.5
microsoft-kiota-serialization-text,1.9.5
ml_dtypes,0.5.3
more-itertools,10.7.0
msal,1.32.3
msal-extensions,1.3.1
msgraph-core,1.3.5
msrest,0.7.1
multidict,6.4.3
nest-asyncio,1.6.0
nltk,3.9.1
numpy,2.3.4
oauthlib,3.2.2
openai,1.109.1
openapi-core,0.19.5
openapi-schema-validator,0.6.3
openapi-spec-validator,0.7.1
opentelemetry-api,1.38.0
opentelemetry-exporter-otlp-proto-common,1.38.0
opentelemetry-exporter-otlp-proto-grpc,1.38.0
opentelemetry-exporter-otlp-proto-http,1.31.1
opentelemetry-instrumentation,0.59b0
opentelemetry-instrumentation-asgi,0.59b0
opentelemetry-instrumentation-dbapi,0.59b0
opentelemetry-instrumentation-django,0.59b0
opentelemetry-instrumentation-fastapi,0.59b0
opentelemetry-instrumentation-flask,0.59b0
opentelemetry-instrumentation-openai,0.40.5
opentelemetry-instrumentation-psycopg2,0.59b0
opentelemetry-instrumentation-requests,0.59b0
opentelemetry-instrumentation-urllib,0.59b0
opentelemetry-instrumentation-urllib3,0.59b0
opentelemetry-instrumentation-wsgi,0.59b0
opentelemetry-proto,1.38.0
opentelemetry-resource-detector-azure,0.1.5
opentelemetry-sdk,1.38.0
opentelemetry-semantic-conventions,0.59b0
opentelemetry-semantic-conventions-ai,0.4.13
opentelemetry-util-http,0.59b0
orjson,3.11.6
ormsgpack,1.12.2
packaging,25.0
pandas,2.2.3
parse,1.20.2
pathable,0.4.4
pillow,11.0.0
pip,25.3
pip,25.0.1
playwright,1.55.0
pluggy,1.5.0
ply,3.11
portalocker,3.2.0
posthog,6.7.8
prance,25.4.8.0
promptflow,1.18.0
promptflow-azure,1.18.0
promptflow-core,1.18.0
promptflow-devkit,1.18.0
promptflow-tools,1.6.0
promptflow-tracing,1.18.0
propcache,0.3.1
proto-plus,1.26.1
protobuf,5.29.5
psutil,6.1.1
py,1.11.0
pyasn1,0.6.1
pyasn1_modules,0.4.2
pybars4,0.9.13
pycparser,2.22
pydantic,2.11.4
pydantic-settings,2.9.1
pydantic_core,2.33.2
pydash,7.0.7
pyee,13.0.0
PyJWT,2.10.1
pylibsrtp,0.12.0
PyMeta3,0.5.1
pyOpenSSL,25.0.0
PyPDF2,3.0.1
pytest,8.3.5
pytest-asyncio,0.24.0
pytest-base-url,2.1.0
pytest-cov,5.0.0
pytest-html,3.2.0
pytest-metadata,3.1.1
pytest-playwright,0.7.1
python-dateutil,2.9.0.post0
python-dotenv,1.1.1
python-multipart,0.0.20
python-slugify,8.0.4
python-ulid,3.1.0
pytz,2025.2
pyweather,0.1.0
pyweather,0.1.0
pywin32,310
pywin32-ctypes,0.2.3
PyYAML,6.0.2
qdrant-client,1.15.1
redis,6.4.0
redisvl,0.10.0
referencing,0.36.2
regex,2024.11.6
reportlab,4.4.5
requests,2.32.3
requests-oauthlib,2.0.0
requests-toolbelt,1.0.0
rfc3339-validator,0.1.4
rpds-py,0.24.0
rsa,4.9.1
ruamel.yaml,0.18.10
scipy,1.15.3
semantic-kernel,1.29.0
setuptools,80.9.0
six,1.17.0
smmap,5.0.2
sniffio,1.3.1
SQLAlchemy,2.0.40
sse-starlette,2.3.5
starlette,0.46.2
std-uritemplate,2.0.5
strictyaml,1.7.3
tabulate,0.9.0
tenacity,9.1.2
text-unidecode,1.3
tiktoken,0.9.0
tqdm,4.67.1
typing-inspection,0.4.0
typing_extensions,4.13.2
tzdata,2025.2
urllib3,2.4.0
uuid_utils,0.14.0
uv,0.9.10
uvicorn,0.34.2
waitress,3.0.2
watchfiles,1.1.1
websockets,15.0.1
Werkzeug,3.1.1
wheel,0.45.1
wrapt,1.17.2
xxhash,3.6.0
yarl,1.20.0
zipp,3.21.0
zstandard,0.25.0
